Unnamed: 0,im,Old,Female,DarkSkin,ita
0,024556.jpg,False,False,False,28.483975595655664
1,118844.jpg,False,False,False,31.572375410361925
2,112176.jpg,False,False,False,39.467394821564
3,101797.jpg,False,False,False,40.902670852834575
4,023397.jpg,False,False,False,32.48774530228094
5,161390.jpg,False,False,False,32.15043754352844
6,188882.jpg,False,False,False,32.88981131239213
7,101140.jpg,False,False,False,39.49751607594201
8,028004.jpg,False,False,True,19.962035474399613
9,186462.jpg,False,False,False,39.16155578576315
10,172730.jpg,False,False,False,42.94096543502239
11,014147.jpg,False,False,False,36.61352350576871
12,004135.jpg,False,False,True,21.95188753525275
13,015698.jpg,False,False,False,49.43672464025665
14,013210.jpg,False,False,False,35.853858080593724
15,158033.jpg,False,False,True,27.77541540403176
16,114932.jpg,False,False,False,35.854068132006006
17,001224.jpg,False,False,False,32.79998938749224
18,101564.jpg,False,False,False,34.47170746387081
19,073141.jpg,False,False,False,42.49310213744366
20,092936.jpg,False,False,True,27.66019173150392
21,197296.jpg,False,False,False,38.238183606654474
22,088938.jpg,False,False,False,37.369566404365465
23,063074.jpg,False,False,True,24.954880730498186
24,095204.jpg,False,False,False,36.92389384286242
25,159300.jpg,False,False,False,37.623993559889776
26,080460.jpg,False,False,False,32.1176936712871
27,137862.jpg,False,False,False,30.70555669661293
28,173375.jpg,False,False,False,36.25138609301165
29,171934.jpg,False,False,False,37.08204261062753
30,024704.jpg,False,False,False,37.91116597303241
31,053680.jpg,False,False,False,30.66284183684679
32,088162.jpg,False,False,True,10.171793089887533
33,165411.jpg,False,False,False,29.52457618740609
34,146276.jpg,False,False,True,21.383170611296013
35,037482.jpg,False,False,False,29.193997730247368
36,126955.jpg,False,False,False,36.09549855523762
37,153440.jpg,False,False,False,40.54755234970641
38,110253.jpg,False,False,True,26.993944003364767
39,178895.jpg,False,False,False,47.99489167296315
40,144296.jpg,False,False,False,41.90683683233771
41,166441.jpg,False,False,True,13.196133187699775
42,010496.jpg,False,False,False,35.540219097609814
43,004132.jpg,False,False,True,16.150805708592706
44,027521.jpg,False,False,False,29.13438274434728
45,179448.jpg,False,False,False,35.567180704519046
46,043545.jpg,False,False,False,31.37659238884985
47,029506.jpg,False,False,False,42.38536611900389
48,094028.jpg,False,False,False,44.66791129129994
49,102716.jpg,False,False,False,34.94576731520893
50,127544.jpg,False,False,False,37.31298689743583
51,099921.jpg,False,False,False,33.82061770326381
52,153190.jpg,False,False,False,36.41988896380572
53,042629.jpg,False,False,False,44.271409468315106
54,023502.jpg,False,False,False,36.127727442179975
55,160797.jpg,False,False,False,40.146368401184944
56,083938.jpg,False,False,False,36.73012616320256
57,112295.jpg,False,False,False,36.28003971348117
58,142571.jpg,False,False,False,41.44729989170328
59,150066.jpg,False,False,True,22.97857453195104
60,008022.jpg,False,False,False,44.444771567014726
61,032822.jpg,False,False,False,29.828011219347662
62,097878.jpg,False,False,False,37.188623862499256
63,048875.jpg,False,False,False,29.79843295463787
64,053226.jpg,False,False,False,33.320319682988384
65,107247.jpg,False,False,False,37.53103366960031
66,188587.jpg,False,False,True,25.910996321112137
67,024581.jpg,False,False,False,33.72023341028585
68,147418.jpg,False,False,False,29.13719397538687
69,054695.jpg,False,False,True,24.37142734521955
70,148021.jpg,False,False,False,33.28593445672985
71,121379.jpg,False,False,False,32.056979539495764
72,061580.jpg,False,False,False,49.22547764124129
73,180987.jpg,False,False,False,30.916405216791574
74,096252.jpg,False,False,False,37.65707193591055
75,152524.jpg,False,False,True,22.63272439094029
76,022630.jpg,False,False,True,20.056787905317297
77,010242.jpg,False,False,False,35.60085322752428
78,173208.jpg,False,False,False,30.23923801399935
79,025461.jpg,False,False,False,29.430825479878486
80,078450.jpg,False,False,False,38.614344278873055
81,146546.jpg,False,False,True,26.50153873833413
82,052949.jpg,False,False,False,34.843080284300385
83,161955.jpg,False,False,False,42.70040694515834
84,153996.jpg,False,False,False,30.493681968381384
85,071943.jpg,False,False,False,38.262962013737116
86,118122.jpg,False,False,True,27.10843114876566
87,168109.jpg,False,False,False,29.32024639451539
88,107212.jpg,False,False,True,22.073456359840442
89,070599.jpg,False,False,True,24.76257132033779
90,016897.jpg,False,False,False,32.57795450389908
91,067629.jpg,False,False,False,45.662044765732276
92,044132.jpg,False,False,True,24.999494162736482
93,079037.jpg,False,False,False,45.64276315592369
